show_id,cast_id
s350,1408.0
s350,1409.0
s350,1410.0
s350,1411.0
s350,1412.0
s351,780.0
s351,1413.0
s351,406.0
s351,1414.0
s351,605.0
s351,1415.0
s351,1416.0
s351,1417.0
s351,1418.0
s351,1419.0
s351,1420.0
s351,1421.0
s352,1422.0
s352,1423.0
s352,1424.0
s352,1425.0
s352,1426.0
s352,1427.0
s352,1428.0
s352,1429.0
s352,1430.0
s352,1431.0
s353,1432.0
s353,220.0
s353,1433.0
s353,1298.0
s353,1434.0
s353,1435.0
s353,1436.0
s353,1437.0
s354,1438.0
s354,332.0
s354,1439.0
s354,1440.0
s354,1441.0
s354,1442.0
s354,1443.0
s354,1444.0
s355,451.0
s355,1349.0
s355,1445.0
s355,1446.0
s355,1447.0
s355,1448.0
s355,1449.0
s355,1450.0
s356,1451.0
s356,349.0
s356,1452.0
s356,1453.0
s356,1454.0
s356,1455.0
s356,1456.0
s356,622.0
s356,1457.0
s356,1458.0
s357,1459.0
s357,1158.0
s357,1460.0
s357,1461.0
s357,1462.0
s357,1463.0
s357,1464.0
s357,1465.0
s357,1466.0
s357,1467.0
s358,1468.0
s358,317.0
s358,1469.0
s358,1470.0
s358,1352.0
s358,1012.0
s358,1471.0
s358,1472.0
s358,1473.0
s358,1474.0
s358,1475.0
s358,1476.0
s359,1477.0
s359,1478.0
s359,1479.0
s359,1480.0
s359,1481.0
s359,1482.0
s359,1483.0
s359,1484.0
s359,1485.0
s359,1486.0
s360,574.0
s360,1487.0
s360,776.0
s360,495.0
s361,1316.0
s361,1488.0
s361,1391.0
s361,1489.0
s361,1490.0
s361,460.0
s361,1491.0
s361,1492.0
s361,1493.0
s361,1494.0
s361,1495.0
s361,610.0
s361,491.0
s361,1496.0
s361,1497.0
s361,1498.0
s361,235.0
s361,1499.0
s361,1500.0
s366,1501.0
s366,1502.0
s366,1503.0
s366,1504.0
s366,1505.0
s366,1506.0
s366,1507.0
s366,1508.0
s375,1509.0
s375,1510.0
s375,1511.0
s375,229.0
s375,1512.0
s375,1513.0
s378,1514.0
s378,1515.0
s378,1516.0
s378,1517.0
s378,1518.0
s378,1519.0
s378,1520.0
s378,1521.0
s378,1522.0
s378,1523.0
s378,1524.0
